考点,province_exam,language_file,registered,present,absent,avg_score,passed,absent_rate,pass_rate_by_present
浙江金华浙江师范大学,浙江省,C++,715,700,15,60.92987377279103,392,0.02097902097902098,0.56
浙江金华浙江师范大学,浙江省,Python,51,51,0,46.72549019607843,16,0.0,0.3137254901960784
浙江金华浙江师范大学,浙江省,Scratch,75,72,3,59.891891891891895,38,0.04,0.5277777777777778
海南中学,北京市,C++,1,1,0,82.0,1,0.0,1.0
海南中学,北京市,Scratch,1,1,0,52.0,0,0.0,0.0
海南中学,广东省,C++,5,5,0,70.1,4,0.0,0.8
海南中学,广东省,Python,5,5,0,36.9,0,0.0,0.0
海南中学,海南省,C++,814,778,36,65.50945775535939,496,0.044226044226044224,0.6375321336760925
海南中学,海南省,Python,50,49,1,42.09,11,0.02,0.22448979591836735
海南中学,海南省,Scratch,77,75,2,50.311688311688314,28,0.025974025974025976,0.37333333333333335
海南省农垦中学,海南省,C++,98,95,3,60.27368421052632,56,0.030612244897959183,0.5894736842105263
海南省农垦中学,海南省,Python,2,2,0,51.5,0,0.0,0.0
海口市第十一小学,海南省,C++,97,92,5,63.73913043478261,55,0.05154639175257732,0.5978260869565217
海口市第十一小学,海南省,Scratch,1,1,0,69.0,1,0.0,1.0
海安市海陵中学（本部）,江苏省,C++,333,329,4,64.94376899696049,201,0.012012012012012012,0.6109422492401215
海安市海陵中学（本部）,江苏省,Python,78,78,0,64.91666666666667,49,0.0,0.6282051282051282
海安市海陵中学（本部）,江苏省,Scratch,129,122,7,57.263565891472865,64,0.05426356589147287,0.5245901639344263
涟水县郑梁梅中学,江苏省,C++,15,15,0,37.13333333333333,2,0.0,0.13333333333333333
涟水县郑梁梅中学,江苏省,Scratch,1,1,0,32.0,0,0.0,0.0
淄博市张店区第八中学,北京市,C++,1,1,0,26.0,0,0.0,0.0
淄博市张店区第八中学,山东省,C++,263,262,1,61.58555133079848,147,0.0038022813688212928,0.5610687022900763
淄博市张店区第八中学,山东省,Python,28,28,0,48.267857142857146,6,0.0,0.21428571428571427
淄博市张店区第八中学,山东省,Scratch,21,21,0,62.57142857142857,14,0.0,0.6666666666666666
淮阴工学院,江苏省,C++,77,74,3,39.51948051948052,13,0.03896103896103896,0.17567567567567569
深圳市耀华实验学校,广东省,C++,866,820,46,67.92440476190477,552,0.053117782909930716,0.6731707317073171
深圳市耀华实验学校,广东省,Python,72,69,3,60.08571428571429,36,0.041666666666666664,0.5217391304347826
深圳市耀华实验学校,广东省,Scratch,62,61,1,67.33870967741936,48,0.016129032258064516,0.7868852459016393
深圳市耀华实验学校,河北省,C++,1,1,0,73.0,1,0.0,1.0
深圳市耀华实验学校,香港特别行政区,C++,11,9,2,60.94444444444444,4,0.18181818181818182,0.4444444444444444
深圳技术大学,广东省,C++,582,557,25,64.77933450087566,356,0.0429553264604811,0.6391382405745063
深圳技术大学,广东省,Python,54,51,3,45.5,12,0.05555555555555555,0.23529411764705882
深圳技术大学,广东省,Scratch,123,118,5,61.24390243902439,73,0.04065040650406504,0.6186440677966102
深圳技术大学,澳门特别行政区,C++,1,1,0,82.0,1,0.0,1.0
深圳技术大学,香港特别行政区,C++,3,3,0,57.5,1,0.0,0.3333333333333333
深圳技术大学,香港特别行政区,Scratch,1,1,0,55.0,0,0.0,0.0
深圳职业技术大学,广东省,C++,687,644,43,57.91220238095238,337,0.06259097525473072,0.5232919254658385
深圳职业技术大学,广东省,Python,86,79,7,49.48823529411764,34,0.08139534883720931,0.43037974683544306
深圳职业技术大学,广东省,Scratch,159,149,10,59.80503144654088,89,0.06289308176100629,0.5973154362416108
深圳职业技术大学,香港特别行政区,C++,13,12,1,62.666666666666664,7,0.07692307692307693,0.5833333333333334
深圳职业技术大学,香港特别行政区,Python,1,1,0,96.0,1,0.0,1.0
温岭市 太平小学,浙江省,C++,187,183,4,64.88440860215054,119,0.0213903743315508,0.6502732240437158
温岭市 太平小学,浙江省,Python,16,15,1,43.25,5,0.0625,0.3333333333333333
温岭市 太平小学,浙江省,Scratch,12,12,0,70.58333333333333,11,0.0,0.9166666666666666
温岭市 太平小学,温岭市,C++,1,1,0,61.5,1,0.0,1.0
温州大学,北京市,C++,1,1,0,82.0,1,0.0,1.0
温州大学,浙江省,C++,1888,1829,59,61.3683368869936,1018,0.03125,0.5565882996172772
温州大学,浙江省,Python,131,129,2,53.7557251908397,55,0.015267175572519083,0.4263565891472868
温州大学,浙江省,Scratch,341,333,8,60.29203539823009,184,0.02346041055718475,0.5525525525525525
温州大学,,Scratch,3,3,0,78.33333333333333,3,0.0,1.0
湖北大学,湖北省,C++,664,641,23,63.7351598173516,387,0.03463855421686747,0.6037441497659907
湖北大学,湖北省,Python,62,59,3,55.70967741935484,30,0.04838709677419355,0.5084745762711864
湖北大学,湖北省,Scratch,294,288,6,63.986301369863014,186,0.02040816326530612,0.6458333333333334
湖北文理学院CCF-GESP考点,河南省,C++,1,1,0,30.0,0,0.0,0.0
湖北文理学院CCF-GESP考点,湖北省,C++,64,62,2,51.404761904761905,22,0.03125,0.3548387096774194
湖北文理学院CCF-GESP考点,湖北省,Python,12,12,0,38.875,2,0.0,0.16666666666666666
湖北文理学院CCF-GESP考点,湖北省,Scratch,17,17,0,72.3529411764706,12,0.0,0.7058823529411765
湖北第二师范学院,北京市,C++,1,1,0,41.0,0,0.0,0.0
湖北第二师范学院,湖北省,C++,717,701,16,61.06258790436006,396,0.022315202231520222,0.5649072753209701
湖北第二师范学院,湖北省,Python,142,137,5,51.82374100719424,54,0.035211267605633804,0.39416058394160586
湖北第二师范学院,湖北省,Scratch,498,484,14,62.44602851323829,293,0.028112449799196786,0.6053719008264463
湖南师范大学,北京市,C++,3,3,0,42.666666666666664,1,0.0,0.3333333333333333
湖南师范大学,江西省,C++,1,1,0,30.0,0,0.0,0.0
湖南师范大学,江西省,Python,2,2,0,50.5,1,0.0,0.5
湖南师范大学,江西省,Scratch,3,3,0,47.333333333333336,1,0.0,0.3333333333333333
湖南师范大学,湖南省,C++,1150,1116,34,61.06842105263158,628,0.029565217391304348,0.5627240143369175
湖南师范大学,湖南省,Python,98,94,4,42.21938775510204,25,0.04081632653061224,0.26595744680851063
湖南师范大学,湖南省,Scratch,198,195,3,56.25757575757576,91,0.015151515151515152,0.4666666666666667
湖南理工学院,湖南省,C++,11,11,0,52.45454545454545,4,0.0,0.36363636363636365
湖南理工学院,湖南省,Scratch,12,12,0,61.25,7,0.0,0.5833333333333334
湖南科技学院理学院,湖南省,C++,28,27,1,62.732142857142854,17,0.03571428571428571,0.6296296296296297
湖南科技学院理学院,湖南省,Scratch,14,13,1,54.57142857142857,7,0.07142857142857142,0.5384615384615384
湖州交通技师学院,安徽省,C++,1,1,0,90.0,1,0.0,1.0
湖州交通技师学院,安徽省,Scratch,1,1,0,78.0,1,0.0,1.0
湖州交通技师学院,浙江省,C++,195,189,6,60.58717948717949,107,0.03076923076923077,0.5661375661375662
湖州交通技师学院,浙江省,Python,15,15,0,62.833333333333336,8,0.0,0.5333333333333333
湖州交通技师学院,浙江省,Scratch,17,16,1,60.529411764705884,11,0.058823529411764705,0.6875
湖州市南太湖双语学校,安徽省,C++,1,1,0,65.5,1,0.0,1.0
湖州市南太湖双语学校,浙江省,C++,92,91,1,62.30769230769231,51,0.010869565217391304,0.5604395604395604
湖州市南太湖双语学校,浙江省,Python,7,6,1,64.58333333333333,4,0.14285714285714285,0.6666666666666666
湖州市南太湖双语学校,浙江省,Scratch,4,4,0,72.25,4,0.0,1.0
湖州职业技术学院（旧）,浙江省,C++,58,58,0,40.3448275862069,7,0.0,0.1206896551724138
湖州职业技术学院（旧）,浙江省,Python,6,6,0,31.5,1,0.0,0.16666666666666666
湖州职业技术学院（旧）,浙江省,Scratch,6,6,0,57.5,3,0.0,0.5
潍坊学院,山东省,C++,981,966,15,62.64227226202661,533,0.01529051987767584,0.55175983436853
潍坊学院,山东省,Python,36,34,2,56.371428571428574,17,0.05555555555555555,0.5
潍坊学院,山东省,Scratch,43,43,0,65.79069767441861,26,0.0,0.6046511627906976
潍坊新纪元学校,山东省,C++,50,50,0,67.18,30,0.0,0.6
潍坊新纪元学校,山东省,Python,5,5,0,34.9,0,0.0,0.0
澳門培正中學,澳门特别行政区,C++,66,63,3,67.75,43,0.045454545454545456,0.6825396825396826
澳門培正中學,澳门特别行政区,Python,14,14,0,75.92857142857143,10,0.0,0.7142857142857143
烟台大学,山东省,C++,334,324,10,70.61009174311927,224,0.029940119760479042,0.691358024691358
烟台大学,山东省,Python,8,8,0,66.25,6,0.0,0.75
烟台大学,山东省,Scratch,9,8,1,54.44444444444444,5,0.1111111111111111,0.625
焦作市第一中学,山西省,C++,2,1,1,36.75,1,0.5,1.0
焦作市第一中学,河南省,C++,87,85,2,59.01149425287356,40,0.022988505747126436,0.47058823529411764
焦作市第一中学,河南省,Scratch,18,18,0,77.61111111111111,15,0.0,0.8333333333333334
玉林市第一中学,广东省,C++,3,2,1,26.666666666666668,0,0.3333333333333333,0.0
玉林市第一中学,广东省,Scratch,1,1,0,89.0,1,0.0,1.0
玉林市第一中学,广西壮族自治区,C++,48,46,2,56.302083333333336,24,0.041666666666666664,0.5217391304347826
玉林市第一中学,广西壮族自治区,Python,13,13,0,61.19230769230769,7,0.0,0.5384615384615384
电子科技大学实验中学,四川省,C++,976,916,60,60.829015544041454,541,0.06147540983606557,0.5906113537117904
电子科技大学实验中学,四川省,Python,50,49,1,56.19,21,0.02,0.42857142857142855
电子科技大学实验中学,四川省,Scratch,93,88,5,60.29032258064516,61,0.053763440860215055,0.6931818181818182
电子科技大学实验中学,贵州省,Python,1,1,0,36.0,0,0.0,0.0
盐城师范学院,上海市,Scratch,1,1,0,40.0,0,0.0,0.0
盐城师范学院,江苏省,C++,274,267,7,56.21003717472119,124,0.025547445255474453,0.46441947565543074
盐城师范学院,江苏省,Python,36,36,0,38.958333333333336,7,0.0,0.19444444444444445
盐城师范学院,江苏省,Scratch,66,59,7,65.36507936507937,44,0.10606060606060606,0.7457627118644068
