province_exam,language_file,centers,registered,present,absent,avg_score,passed,absent_rate,avg_center_load,pass_rate_by_present
辽宁省,Python,5,96,95,1,50.098958333333336,37,0.010416666666666666,19.2,0.3894736842105263
辽宁省,Scratch,5,286,281,5,66.37809187279152,181,0.017482517482517484,57.2,0.6441281138790036
重庆市,C++,16,5155,5038,117,61.47089275249072,2852,0.022696411251212415,322.1875,0.5660976578007145
重庆市,Python,12,140,137,3,45.268115942028984,39,0.02142857142857143,11.666666666666666,0.2846715328467153
重庆市,Scratch,12,1144,1115,29,59.46538124452235,638,0.025349650349650348,95.33333333333333,0.5721973094170404
陕西省,C++,11,1575,1508,67,59.075289575289574,821,0.04253968253968254,143.1818181818182,0.5444297082228117
陕西省,Python,6,63,63,0,55.04761904761905,30,0.0,10.5,0.47619047619047616
陕西省,Scratch,10,237,228,9,55.60683760683761,103,0.0379746835443038,23.7,0.4517543859649123
青海省,C++,3,12,12,0,53.458333333333336,5,0.0,4.0,0.4166666666666667
青海省,Python,1,1,1,0,16.0,0,0.0,1.0,0.0
香港特别行政区,C++,10,46,42,4,57.383720930232556,19,0.08695652173913043,4.6,0.4523809523809524
香港特别行政区,Python,3,3,3,0,86.66666666666667,3,0.0,1.0,1.0
香港特别行政区,Scratch,1,1,1,0,55.0,0,0.0,1.0,0.0
黑龙江省,C++,6,712,693,19,63.571325648414984,397,0.026685393258426966,118.66666666666667,0.5728715728715729
黑龙江省,Python,3,74,70,4,48.92567567567568,31,0.05405405405405406,24.666666666666668,0.44285714285714284
黑龙江省,Scratch,4,126,124,2,60.256,63,0.015873015873015872,31.5,0.5080645161290323
（江苏省,C++,1,1,1,0,88.0,1,0.0,1.0,1.0
,C++,1,1,1,0,52.5,0,0.0,1.0,0.0
,Python,1,1,1,0,16.0,0,0.0,1.0,0.0
,Scratch,1,3,3,0,78.33333333333333,3,0.0,3.0,1.0
